replicate	fa	week	treatment	fa_conc
B_8	C20:2(n-6)	2	Mix	0
B_8	C20:3(n-6)	2	Mix	0
B_8	C20:4(n-6)	2	Mix	0.978305663
B_8	C20:3(n-3)	2	Mix	0
B_8	C21:0	2	Mix	0
B_8	C20:5(n-3)	2	Mix	2.204263703
B_8	C22:0	2	Mix	0
B_8	C22:1	2	Mix	3.250962472
B_8	C22:2	2	Mix	0
B_8	C22:5(n-3)	2	Mix	0
B_8	C22:6(n-3)	2	Mix	0.313251512
B_8	C24:0	2	Mix	0
B_8	C24:1	2	Mix	0
B_9	C08:0	3	NC	0
B_9	C10:0	3	NC	0
B_9	C11:0	3	NC	0
B_9	C12:0	3	NC	1.024460256
B_9	C13:0	3	NC	5.745059037
B_9	C14:0	3	NC	13.68015845
B_9	C14:1	3	NC	0
B_9	C15:0	3	NC	1.172113515
B_9	C15:1	3	NC	0
B_9	C16:0	3	NC	67.49445613
B_9	C16:1	3	NC	6.557193702
B_9	C17:1	3	NC	0.505219386
B_9	C18:0	3	NC	29.81539903
B_9	C18:1	3	NC	81.42256239
B_9	C18:2(n-6t)	3	NC	0
B_9	C18:2(n-6c)	3	NC	56.38499514
B_9	C18:3(n-6)	3	NC	4.431093304
B_9	C18:3(n-3)	3	NC	36.09409244
B_9	C18:4(n-3)	3	NC	17.21977977
B_9	C20:0	3	NC	1.106070458
B_9	C20:1	3	NC	4.35015234
B_9	C20:2(n-6)	3	NC	0.875208291
B_9	C20:3(n-6)	3	NC	0
B_9	C20:4(n-6)	3	NC	2.987579933
B_9	C20:3(n-3)	3	NC	0
B_9	C21:0	3	NC	0
B_9	C20:5(n-3)	3	NC	12.7890292
B_9	C22:0	3	NC	1.185779906
B_9	C22:1	3	NC	4.503659181
B_9	C22:2	3	NC	0
B_9	C22:5(n-3)	3	NC	0
B_9	C22:6(n-3)	3	NC	1.219028893
B_9	C24:0	3	NC	1.267148039
B_9	C24:1	3	NC	0
B_10	C08:0	3	Cip	0
B_10	C10:0	3	Cip	0
B_10	C11:0	3	Cip	0
B_10	C12:0	3	Cip	1.03900705
B_10	C13:0	3	Cip	6.206475006
B_10	C14:0	3	Cip	16.95496362
B_10	C14:1	3	Cip	2.142455996
B_10	C15:0	3	Cip	1.244879202
B_10	C15:1	3	Cip	0
B_10	C16:0	3	Cip	35.63378821
B_10	C16:1	3	Cip	17.35604749
B_10	C17:1	3	Cip	0.759966351
B_10	C18:0	3	Cip	2.627110009
B_10	C18:1	3	Cip	39.24657606
B_10	C18:2(n-6t)	3	Cip	0
B_10	C18:2(n-6c)	3	Cip	44.38991433
B_10	C18:3(n-6)	3	Cip	5.558119462
B_10	C18:3(n-3)	3	Cip	36.39008215
B_10	C18:4(n-3)	3	Cip	18.48831211
B_10	C20:0	3	Cip	1.579290606
B_10	C20:1	3	Cip	4.394293875
B_10	C20:2(n-6)	3	Cip	1.135142681
B_10	C20:3(n-6)	3	Cip	0
B_10	C20:4(n-6)	3	Cip	2.441373772
B_10	C20:3(n-3)	3	Cip	0
B_10	C21:0	3	Cip	0
B_10	C20:5(n-3)	3	Cip	12.2936978
B_10	C22:0	3	Cip	0.825310978
B_10	C22:1	3	Cip	4.779563798
B_10	C22:2	3	Cip	0
B_10	C22:5(n-3)	3	Cip	0
B_10	C22:6(n-3)	3	Cip	0.984462431
B_10	C24:0	3	Cip	1.712252176
B_10	C24:1	3	Cip	0
B_11	C08:0	3	Pro	0
B_11	C10:0	3	Pro	0
B_11	C11:0	3	Pro	0
B_11	C12:0	3	Pro	0.885300301
B_11	C13:0	3	Pro	5.559792938
B_11	C14:0	3	Pro	15.0768632
B_11	C14:1	3	Pro	0
B_11	C15:0	3	Pro	1.089611211
B_11	C15:1	3	Pro	0
B_11	C16:0	3	Pro	16.28317813
B_11	C16:1	3	Pro	44.79114858
B_11	C17:1	3	Pro	0.85298538
B_11	C18:0	3	Pro	25.46748991
B_11	C18:1	3	Pro	0.864141372
B_11	C18:2(n-6t)	3	Pro	0
B_11	C18:2(n-6c)	3	Pro	0.858445815
B_11	C18:3(n-6)	3	Pro	4.577818491
B_11	C18:3(n-3)	3	Pro	32.77140589
B_11	C18:4(n-3)	3	Pro	15.890179
B_11	C20:0	3	Pro	1.382925829
B_11	C20:1	3	Pro	4.447730214
B_11	C20:2(n-6)	3	Pro	0.928076301
B_11	C20:3(n-6)	3	Pro	0.449747903
B_11	C20:4(n-6)	3	Pro	1.830786261
B_11	C20:3(n-3)	3	Pro	0
B_11	C21:0	3	Pro	0
B_11	C20:5(n-3)	3	Pro	10.20130378
B_11	C22:0	3	Pro	0.651951986
B_11	C22:1	3	Pro	4.731170395
B_11	C22:2	3	Pro	0
B_11	C22:5(n-3)	3	Pro	0
B_11	C22:6(n-3)	3	Pro	0.81439735
B_11	C24:0	3	Pro	1.620936624
B_11	C24:1	3	Pro	0
B_12	C08:0	3	Mix	0
B_12	C10:0	3	Mix	0
B_12	C11:0	3	Mix	0
B_12	C12:0	3	Mix	0.868197215
B_12	C13:0	3	Mix	4.889091814
B_12	C14:0	3	Mix	11.39857424
B_12	C14:1	3	Mix	0
B_12	C15:0	3	Mix	1.3046954
B_12	C15:1	3	Mix	0.157103726
B_12	C16:0	3	Mix	41.13578994
B_12	C16:1	3	Mix	17.00625851
B_12	C17:1	3	Mix	0
B_12	C18:0	3	Mix	0.366334205
B_12	C18:1	3	Mix	4.457405724
B_12	C18:2(n-6t)	3	Mix	0
B_12	C18:2(n-6c)	3	Mix	41.02438913
B_12	C18:3(n-6)	3	Mix	0
B_12	C18:3(n-3)	3	Mix	44.5677401
B_12	C18:4(n-3)	3	Mix	21.42053658
B_12	C20:0	3	Mix	1.376953974
B_12	C20:1	3	Mix	4.724775008
B_12	C20:2(n-6)	3	Mix	0.549250899
B_12	C20:3(n-6)	3	Mix	0
B_12	C20:4(n-6)	3	Mix	1.306159224
B_12	C20:3(n-3)	3	Mix	0
B_12	C21:0	3	Mix	0
B_12	C20:5(n-3)	3	Mix	7.857303627
B_12	C22:0	3	Mix	0.908344177
B_12	C22:1	3	Mix	7.399673849
B_12	C22:2	3	Mix	0
B_12	C22:5(n-3)	3	Mix	0
B_12	C22:6(n-3)	3	Mix	0.625767067
B_12	C24:0	3	Mix	2.158130804
B_12	C24:1	3	Mix	0
