replicate	fa	treatment	fa_conc
S_9	C11:0	NC	0
S_9	C12:0	NC	0
S_9	C13:0	NC	0
S_9	C14:0	NC	7.194430102
S_9	C14:1	NC	0
S_9	C15:0	NC	2.028355062
S_9	C15:1	NC	0
S_9	C16:0	NC	89.37358538
S_9	C16:1	NC	54.68411068
S_9	C17:1	NC	0
S_9	C18:0	NC	54.72950415
S_9	C18:1	NC	65.81788782
S_9	C18:2(n-6t)	NC	0
S_9	C18:2(n-6c)	NC	30.57207797
S_9	C18:3(n-6)	NC	2.254100474
S_9	C18:3(n-3)	NC	8.381733594
S_9	C18:4(n-3)	NC	2.313017386
S_9	C20:0	NC	2.465792991
S_9	C20:1	NC	8.294482709
S_9	C20:2(n-6)	NC	7.39371491
S_9	C20:3(n-6)	NC	1.532958367
S_9	C20:4(n-6)	NC	17.7220401
S_9	C20:3(n-3)	NC	0.40804141
S_9	C21:0	NC	0
S_9	C20:5(n-3)	NC	24.17483027
S_9	C22:0	NC	0
S_9	C22:1	NC	9.351837562
S_9	C22:2	NC	0
S_9	C22:5(n-3)	NC	4.815559856
S_9	C22:6(n-3)	NC	1.772927285
S_9	C24:0	NC	0
S_9	C24:1	NC	0
S_10	C08:0	NC	0
S_10	C10:0	NC	0
S_10	C11:0	NC	0
S_10	C12:0	NC	0
S_10	C13:0	NC	0
S_10	C14:0	NC	5.813217658
S_10	C14:1	NC	0
S_10	C15:0	NC	1.149113299
S_10	C15:1	NC	0
S_10	C16:0	NC	59.18873064
S_10	C16:1	NC	35.85453002
S_10	C17:1	NC	0
S_10	C18:0	NC	35.03887344
S_10	C18:1	NC	60.92403371
S_10	C18:2(n-6t)	NC	0
S_10	C18:2(n-6c)	NC	23.85073143
S_10	C18:3(n-6)	NC	0.710583892
S_10	C18:3(n-3)	NC	5.856220661
S_10	C18:4(n-3)	NC	0
S_10	C20:0	NC	0.763140016
S_10	C20:1	NC	5.279662626
S_10	C20:2(n-6)	NC	4.477111833
S_10	C20:3(n-6)	NC	0.549421868
S_10	C20:4(n-6)	NC	8.496705375
S_10	C20:3(n-3)	NC	0.233232395
S_10	C21:0	NC	0
S_10	C20:5(n-3)	NC	10.99564349
S_10	C22:0	NC	0
S_10	C22:1	NC	7.071341918
S_10	C22:2	NC	0
S_10	C22:5(n-3)	NC	2.18778944
S_10	C22:6(n-3)	NC	0.687735597
S_10	C24:0	NC	0
S_10	C24:1	NC	0
S_11	C08:0	Pro	0
S_11	C10:0	Pro	0
S_11	C11:0	Pro	0
S_11	C12:0	Pro	0
S_11	C13:0	Pro	0
S_11	C14:0	Pro	9.992151898
S_11	C14:1	Pro	0
S_11	C15:0	Pro	2.249820759
S_11	C15:1	Pro	0
S_11	C16:0	Pro	106.3054312
S_11	C16:1	Pro	78.32341122
S_11	C17:1	Pro	0
S_11	C18:0	Pro	57.71931385
S_11	C18:1	Pro	83.43592488
S_11	C18:2(n-6t)	Pro	0
S_11	C18:2(n-6c)	Pro	13.60743889
S_11	C18:3(n-6)	Pro	2.496908273
S_11	C18:3(n-3)	Pro	7.06379718
S_11	C18:4(n-3)	Pro	2.5924653
S_11	C20:0	Pro	1.014944968
S_11	C20:1	Pro	8.861393108
S_11	C20:2(n-6)	Pro	6.250916233
S_11	C20:3(n-6)	Pro	1.278195545
S_11	C20:4(n-6)	Pro	12.9298237
S_11	C20:3(n-3)	Pro	0
S_11	C21:0	Pro	0
S_11	C20:5(n-3)	Pro	18.47437417
S_11	C22:0	Pro	0
S_11	C22:1	Pro	8.72746403
S_11	C22:2	Pro	0
S_11	C22:5(n-3)	Pro	2.99247263
S_11	C22:6(n-3)	Pro	0.766649541
S_11	C24:0	Pro	0
S_11	C24:1	Pro	0
S_12	C08:0	Pro	0
S_12	C10:0	Pro	0
S_12	C11:0	Pro	0
S_12	C12:0	Pro	0
S_12	C13:0	Pro	0
S_12	C14:0	Pro	2.793363615
S_12	C14:1	Pro	0
S_12	C15:0	Pro	1.707706152
S_12	C15:1	Pro	0
S_12	C16:0	Pro	80.3360989
S_12	C16:1	Pro	9.923080719
S_12	C17:1	Pro	0
S_12	C18:0	Pro	83.81498724
S_12	C18:1	Pro	3.055313206
S_12	C18:2(n-6t)	Pro	0
S_12	C18:2(n-6c)	Pro	24.97206838
S_12	C18:3(n-6)	Pro	0
S_12	C18:3(n-3)	Pro	4.241610825
S_12	C18:4(n-3)	Pro	0
S_12	C20:0	Pro	2.664886648
S_12	C20:1	Pro	6.515740523
S_12	C20:2(n-6)	Pro	3.966354869
S_12	C20:3(n-6)	Pro	0.042355032
S_12	C20:4(n-6)	Pro	14.82678705
S_12	C20:3(n-3)	Pro	0
S_12	C21:0	Pro	0
S_12	C20:5(n-3)	Pro	10.59247374
S_12	C22:0	Pro	0
S_12	C22:1	Pro	13.5272091
S_12	C22:2	Pro	0
S_12	C22:5(n-3)	Pro	2.8281014
S_12	C22:6(n-3)	Pro	0.680490191
S_12	C24:0	Pro	0
S_12	C24:1	Pro	0
S_13	C08:0	Pro	0
S_13	C10:0	Pro	0
S_13	C11:0	Pro	0
S_13	C12:0	Pro	0
S_13	C13:0	Pro	0
S_13	C14:0	Pro	0
S_13	C14:1	Pro	0
S_13	C15:0	Pro	0
S_13	C15:1	Pro	0
S_13	C16:0	Pro	67.30445248
S_13	C16:1	Pro	19.47860439
S_13	C17:1	Pro	0
S_13	C18:0	Pro	63.64812536
S_13	C18:1	Pro	11.82943446
S_13	C18:2(n-6t)	Pro	0
S_13	C18:2(n-6c)	Pro	1.490380243
S_13	C18:3(n-6)	Pro	0.692507581
S_13	C18:3(n-3)	Pro	4.923094255
S_13	C18:4(n-3)	Pro	0
S_13	C20:0	Pro	0
S_13	C20:1	Pro	4.765248312
S_13	C20:2(n-6)	Pro	0
S_13	C20:3(n-6)	Pro	0.795989549
S_13	C20:4(n-6)	Pro	13.5382992
S_13	C20:3(n-3)	Pro	0
S_13	C21:0	Pro	0
S_13	C20:5(n-3)	Pro	14.3236709
S_13	C22:0	Pro	0
S_13	C22:1	Pro	19.33767736
S_13	C22:2	Pro	0
S_13	C22:5(n-3)	Pro	2.466980449
S_13	C22:6(n-3)	Pro	0.882054485
S_13	C24:0	Pro	0
S_13	C24:1	Pro	0
S_14	C08:0	Pro	0
S_14	C10:0	Pro	0
S_14	C11:0	Pro	0
S_14	C12:0	Pro	0
S_14	C13:0	Pro	0
S_14	C14:0	Pro	0.871597174
S_14	C14:1	Pro	0
S_14	C15:0	Pro	0
S_14	C15:1	Pro	0
S_14	C16:0	Pro	73.76621296
S_14	C16:1	Pro	43.01115538
S_14	C17:1	Pro	0
S_14	C18:0	Pro	51.02309649
S_14	C18:1	Pro	74.61646234
S_14	C18:2(n-6t)	Pro	0
S_14	C18:2(n-6c)	Pro	19.1503108
S_14	C18:3(n-6)	Pro	0.447742138
S_14	C18:3(n-3)	Pro	3.705701268
S_14	C18:4(n-3)	Pro	0
S_14	C20:0	Pro	1.898134575
S_14	C20:1	Pro	9.310898345
S_14	C20:2(n-6)	Pro	4.806233232
S_14	C20:3(n-6)	Pro	0
S_14	C20:4(n-6)	Pro	6.639309032
S_14	C20:3(n-3)	Pro	0
S_14	C21:0	Pro	0
S_14	C20:5(n-3)	Pro	8.426327275
S_14	C22:0	Pro	0
S_14	C22:1	Pro	16.02818711
S_14	C22:2	Pro	0
S_14	C22:5(n-3)	Pro	1.566716417
S_14	C22:6(n-3)	Pro	0.309999321
S_14	C24:0	Pro	0
