sample	treatment	week	used_in_feeding_assay	afdw	feeding_rate
28	Pro	3	no	0.42183406	0.539479021
29	Pro	3	no	0.47772926	4.110872648
30	Pro	3	no	0.43056769	0.457247969
1	Cip	3	no	0.33952014	1.763534121
2	Cip	3	yes_Cip1	0.57220462	3.399555928
3	Cip	3	yes_Cip2	0.3354459	0.989724934
4	Cip	3	yes_Cip3	0.61928474	0.337699576
5	Cip	3	no	0.60027162	1.348517394
6	Cip	3	yes_Cip5	0.39927569	1.453721832
7	Cip	3	yes_Cip6	0.51788139	0.91203162
8	Cip	3	no	NA	NA
9	Cip	3	no	0.62652784	0.219332672
10	Cip	3	no	0.49569941	3.885464755
11	Cip	3	yes_Cip9	0.14214577	1.968336642
12	Cip	3	no	NA	NA
13	Cip	3	no	0.46899049	11.23372928
14	Cip	3	yes_Cip10	0.6016297	0
15	Cip	3	no	NA	NA
16	Cip	3	yes_Cip7	0.1960163	1.212777372
17	Cip	3	no	NA	NA
18	Cip	3	yes_Cip4	0.25441376	0.656612156
19	Cip	3	yes_Cip8	0.22046175	2.058118924
20	Cip	3	no	0.30466274	4.697664306
21	Cip	3	no	NA	NA
22	Cip	3	no	0.41738343	3.082939338
23	Cip	3	no	0.35129018	0.574454114
24	Cip	3	no	0.38071526	4.124187961
25	Cip	3	no	0.33952014	1.070460945
26	Cip	3	no	0.21186057	1.960726378
27	Cip	3	no	0.33816206	4.140895596
28	Cip	3	no	0.28021729	3.985170874
29	Cip	3	no	0.38795835	1.087219668
30	Cip	3	no	0.21774559	5.011377761
1	Mix	3	no	0.17161572	0.548039278
2	Mix	3	no	0.24366812	0.532777523
3	Mix	3	no	0.17772926	0.998680325
4	Mix	3	yes_Mix1	0.20305677	0.731025374
5	Mix	3	no	0.31790393	2.604201937
6	Mix	3	no	0.1510917	1.390570746
7	Mix	3	yes_Mix2	0.30655022	0.187149096
8	Mix	3	no	0.14847162	1.237737729
9	Mix	3	yes_Mix3	0.35895197	1.643491546
10	Mix	3	yes_Mix4	0.17074236	0.702035731
11	Mix	3	no	0.51834061	1.553803429
12	Mix	3	yes_Mix5	0.47849706	1.544212608
13	Mix	3	yes_Mix6	0.42576419	0.959325209
14	Mix	3	no	0.22620087	0.777487311
15	Mix	3	yes_Mix7	0.12620087	0.051564345
16	Mix	3	no	0.19825328	2.019068322
17	Mix	3	yes_Mix8	0.4510917	3.306116591
18	Mix	3	yes_Mix9	0.50430059	1.423431767
19	Mix	3	no	0.23624454	0.437979972
20	Mix	3	no	0.3214124	5.163446422
21	Mix	3	no	0.38614758	1.882613747
22	Mix	3	no	0.33906745	1.396453366
23	Mix	3	no	0.26346763	0.893075133
24	Mix	3	no	0.31145315	2.873302726
25	Mix	3	no	0.33680398	1.660686911
26	Mix	3	yes_Mix10	0.20552286	1.634641624
27	Mix	3	no	0.28112268	1.397815359
28	Mix	3	no	0.36713445	3.135191523
29	Mix	3	no	0.28791308	2.009554283
30	Mix	3	no	0.25215029	1.855256595
