replicate	fa	treatment	fa_conc
S_12	C24:1	Pro	0
S_15	C08:0	Pro	0
S_15	C10:0	Pro	0
S_15	C11:0	Pro	#NV
S_15	C12:0	Pro	5.87438
S_15	C13:0	Pro	113.93277
S_15	C14:0	Pro	118.8231
S_15	C14:1	Pro	0
S_15	C15:0	Pro	21.5728
S_15	C15:1	Pro	0
S_15	C16:0	Pro	2261.72541
S_15	C16:1	Pro	401.14747
S_15	C17:0	Pro	29.09128
S_15	C17:1	Pro	0
S_15	C18:0	Pro	315.74069
S_15	C18:1	Pro	587.36394
S_15	C18:2(n-6t)	Pro	1.73383
S_15	C18:2(n-6c)	Pro	285.59963
S_15	C18:3(n-6)	Pro	0.72989
S_15	C18:3(n-3)	Pro	254.66155
S_15	C18:4(n-3)	Pro	11.58087
S_15	C20:0	Pro	0
S_15	C20:1	Pro	14.95228
S_15	C20:2(n-6)	Pro	43.37448
S_15	C20:3(n-6)	Pro	0.27161
S_15	C20:4(n-6)	Pro	306.74483
S_15	C21:0	Pro	0
S_15	C20:5(n-3)	Pro	263.25185
S_15	C22:0	Pro	0
S_15	C22:1	Pro	28.76131
S_15	C22:2	Pro	0.01169
S_15	C22:5(n-3)	Pro	10.42894
S_15	C22:6(n-3)	Pro	9.66332
S_15	C24:0	Pro	18.94672
S_15	C24:1	Pro	0
S_16	C08:0	Pro	0
S_16	C10:0	Pro	0
S_16	C11:0	Pro	#NV
S_16	C12:0	Pro	3.97739
S_16	C13:0	Pro	157.91946
S_16	C14:0	Pro	97.50221
S_16	C14:1	Pro	0
S_16	C15:0	Pro	25.9047
S_16	C15:1	Pro	0
S_16	C16:0	Pro	2390.4381
S_16	C16:1	Pro	168.0303
S_16	C17:0	Pro	30.20055
S_16	C17:1	Pro	0
S_16	C18:0	Pro	347.57781
S_16	C18:1	Pro	589.7413
S_16	C18:2(n-6t)	Pro	0.03658
S_16	C18:2(n-6c)	Pro	235.07954
S_16	C18:3(n-6)	Pro	0.54966
S_16	C18:3(n-3)	Pro	175.14995
S_16	C18:4(n-3)	Pro	0.58233
S_16	C20:0	Pro	0.47748
