date	day	time_of_day	temperature	light_intensity
20230415	15	14	13.65	346.5
20230415	15	15	13.69	357.8
20230415	15	16	13.78	318.4
20230415	15	17	13.82	354.4
20230415	15	18	13.87	338.8
20230415	15	19	13.9	336.7
20230415	15	20	13.94	327.4
20230415	15	21	13.95	316.6
20230415	15	22	13.98	0
20230415	15	23	13.44	0
20230416	16	0	12.65	0
20230416	16	1	12.62	0
20230416	16	2	12.61	0
20230416	16	3	12.6	0
20230416	16	4	12.55	0
20230416	16	5	12.52	0
20230416	16	6	12.5	334.6
20230416	16	7	12.5	351.5
20230416	16	8	12.45	301.6
20230416	16	9	12.76	358.8
20230416	16	10	13.21	331.1
20230416	16	11	13.41	325.6
20230416	16	12	13.56	355.6
20230416	16	13	13.63	300.6
20230416	16	14	13.67	319.8
20230416	16	15	13.7	324.5
20230416	16	16	13.78	326.7
20230416	16	17	13.8	337.3
20230416	16	18	13.88	348.6
20230416	16	19	13.86	353.9
20230416	16	20	13.9	303.2
20230416	16	21	13.91	311.8
20230416	16	22	13.92	0
20230416	16	23	13.97	0
20230417	17	0	13.5	0
20230417	17	1	12.6	0
20230417	17	2	12.59	0
20230417	17	3	12.58	0
20230417	17	4	12.6	0
20230417	17	5	12.53	0
20230417	17	6	12.5	308.8
20230417	17	7	12.51	343.5
20230417	17	8	12.85	352.2
20230417	17	9	13.13	360.8
20230417	17	10	13.35	323.5
20230417	17	11	13.51	312.2
20230417	17	12	13.59	306.5
20230417	17	13	13.71	354.6
20230417	17	14	13.74	317.4
20230417	17	15	13.79	336.8
20230417	17	16	13.85	359.5
20230417	17	17	13.87	301.4
20230417	17	18	13.9	353.8
20230417	17	19	13.91	334.1
20230417	17	20	13.95	324.4
20230417	17	21	13.96	325.8
20230417	17	22	13.9	0
20230417	17	23	13.26	0
20230418	18	0	12.65	0
20230418	18	1	12.62	0
20230418	18	2	12.6	0
20230418	18	3	12.57	0
20230418	18	4	12.57	0
20230418	18	5	12.5	0
20230418	18	6	12.54	349.8
20230418	18	7	12.54	302.6
20230418	18	8	12.9	312.4
20230418	18	9	13.16	310.7
20230418	18	10	13.43	332.2
20230418	18	11	13.56	316.4
20230418	18	12	13.6	328.8
20230418	18	13	13.63	327.9
20230418	18	14	13.67	329.3
20230418	18	15	13.7	303.7
20230418	18	16	13.87	312.3
20230418	18	17	13.86	314.5
20230418	18	18	13.88	356.8
20230418	18	19	13.93	320.4
20230418	18	20	13.99	337.7
20230418	18	21	14.03	333.6
20230418	18	22	14.05	0
20230418	18	23	13.63	0
20230419	19	0	12.72	0
20230419	19	1	12.69	0
20230419	19	2	12.6	0
20230419	19	3	12.5	0
20230419	19	4	12.55	0
20230419	19	5	12.53	0
20230419	19	6	12.45	350.8
20230419	19	7	12.43	357.4
20230419	19	8	12.74	322.7
20230419	19	9	13.17	348.3
20230419	19	10	13.3	323.4
20230419	19	11	13.55	343.1
20230419	19	12	13.68	331.7
20230419	19	13	13.72	307.4
20230419	19	14	13.78	330.6
20230419	19	15	13.8	313.3
20230419	19	16	13.84	351.6
20230419	19	17	13.87	352.8
20230419	19	18	13.89	304.8
20230419	19	19	13.94	345.2
20230419	19	20	13.96	309.6
20230419	19	21	13.99	340.9
20230419	19	22	14	0
20230419	19	23	13.49	0
20230420	20	0	12.59	0
20230420	20	1	12.4	0
20230420	20	2	12.41	0
20230420	20	3	12.42	0
20230420	20	4	12.47	0
20230420	20	5	12.46	0
20230420	20	6	12.45	319.5
20230420	20	7	12.45	300.2
20230420	20	8	12.77	338.5
20230420	20	9	13.22	311.8
20230420	20	10	13.47	305.4
20230420	20	11	13.55	315.8
20230420	20	12	13.61	345.6
20230420	20	13	13.69	337.2
20230420	20	14	13.74	326.4
20230420	20	15	13.8	307.2
20230420	20	16	13.82	343.9
20230420	20	17	13.82	302.4
20230420	20	18	13.88	359.4
20230420	20	19	13.92	344.6
20230420	20	20	13.93	330.6
20230420	20	21	13.98	356.5
20230420	20	22	13.99	0
20230420	20	23	13.42	0
20230421	21	0	12.85	0
20230421	21	1	12.76	0
20230421	21	2	12.63	0
20230421	21	3	12.49	0
20230421	21	4	12.5	0
20230421	21	5	12.5	0
20230421	21	6	12.48	351.4
20230421	21	7	12.47	317.8
20230421	21	8	12.84	320.5
20230421	21	9	13.1	338.4
20230421	21	10	13.5	314.8
20230421	21	11	13.55	346.2
20230421	21	12	13.7	354.1
