replicate	fa	week	treatment	fa_conc
B_10	C13:0	3	Cip	58.36457
B_10	C14:0	3	Cip	153.57449
B_10	C14:1	3	Cip	0.00000
B_10	C15:0	3	Cip	7.93847
B_10	C15:1	3	Cip	0.00000
B_10	C16:0	3	Cip	2301.60298
B_10	C16:1	3	Cip	474.86462
B_10	C17:0	3	Cip	8.18695
B_10	C17:1	3	Cip	10.48574
B_10	C18:0	3	Cip	137.58566
B_10	C18:1	3	Cip	968.63367
B_10	C18:2(n-6t)	3	Cip	0.00000
B_10	C18:2(n-6c)	3	Cip	953.76748
B_10	C18:3(n-6)	3	Cip	78.76634
B_10	C18:3(n-3)	3	Cip	1659.58634
B_10	C18:4(n-3)	3	Cip	160.95339
B_10	C20:0	3	Cip	13.59740
B_10	C20:1	3	Cip	14.83980
B_10	C20:2(n-6)	3	Cip	9.80235
B_10	C20:3(n-6)	3	Cip	2.10113
B_10	C20:4(n-6)	3	Cip	56.19951
B_10	C20:3(n-3)	3	Cip	#NV
B_10	C21:0	3	Cip	0.00000
B_10	C20:5(n-3)	3	Cip	147.00750
B_10	C22:0	3	Cip	0.79410
B_10	C22:1	3	Cip	0.00000
B_10	C22:2	3	Cip	0.00233
B_10	C22:5(n-3)	3	Cip	0.39817
B_10	C22:6(n-3)	3	Cip	8.51480
B_10	C24:0	3	Cip	54.44386
B_10	C24:1	3	Cip	0.00000
B_11	C08:0	3	Pro	0.17183
B_11	C10:0	3	Pro	2.02634
B_11	C11:0	3	Pro	0.00000
B_11	C12:0	3	Pro	10.63229
B_11	C13:0	3	Pro	65.80706
B_11	C14:0	3	Pro	199.00869
B_11	C14:1	3	Pro	0.00000
B_11	C15:0	3	Pro	12.66999
B_11	C15:1	3	Pro	0.00000
B_11	C16:0	3	Pro	3166.70395
B_11	C16:1	3	Pro	626.21997
B_11	C17:0	3	Pro	10.14394
B_11	C17:1	3	Pro	0.00000
B_11	C18:0	3	Pro	100.33430
B_11	C18:1	3	Pro	1333.74183
B_11	C18:2(n-6t)	3	Pro	0.00000
B_11	C18:2(n-6c)	3	Pro	0.00000
B_11	C18:3(n-6)	3	Pro	102.01952
B_11	C18:3(n-3)	3	Pro	2063.73297
B_11	C18:4(n-3)	3	Pro	190.49994
B_11	C20:0	3	Pro	10.79614
B_11	C20:1	3	Pro	19.42170
B_11	C20:2(n-6)	3	Pro	12.10373
B_11	C20:3(n-6)	3	Pro	2.52116
B_11	C20:4(n-6)	3	Pro	71.87882
B_11	C20:3(n-3)	3	Pro	1.78933
B_11	C21:0	3	Pro	0.00000
B_11	C20:5(n-3)	3	Pro	158.72115
B_11	C22:0	3	Pro	6.01770
B_11	C22:1	3	Pro	7.76591
B_11	C22:2	3	Pro	0.00496
B_11	C22:5(n-3)	3	Pro	0.41859
B_11	C22:6(n-3)	3	Pro	9.34197
B_11	C24:0	3	Pro	68.16256
B_11	C24:1	3	Pro	0.00000
B_12	C08:0	3	Mix	0.15527
B_12	C10:0	3	Mix	0.00000
B_12	C11:0	3	Mix	#NV
B_12	C12:0	3	Mix	7.03102
B_12	C13:0	3	Mix	52.33002
B_12	C14:0	3	Mix	114.22771
B_12	C14:1	3	Mix	0.00000
B_12	C15:0	3	Mix	9.10933
B_12	C15:1	3	Mix	1.80822
B_12	C16:0	3	Mix	3165.29209
B_12	C16:1	3	Mix	336.03913
B_12	C17:0	3	Mix	16.89348
B_12	C17:1	3	Mix	17.93312
B_12	C18:0	3	Mix	188.55808
B_12	C18:1	3	Mix	1227.03040
B_12	C18:2(n-6t)	3	Mix	1.72357
B_12	C18:2(n-6c)	3	Mix	1156.06043
B_12	C18:3(n-6)	3	Mix	0.00000
B_12	C18:3(n-3)	3	Mix	2330.15053
B_12	C18:4(n-3)	3	Mix	217.78374
B_12	C20:0	3	Mix	13.10739
B_12	C20:1	3	Mix	20.40186
B_12	C20:2(n-6)	3	Mix	5.38356
B_12	C20:3(n-6)	3	Mix	0.00000
B_12	C20:4(n-6)	3	Mix	35.08840
B_12	C20:3(n-3)	3	Mix	1.96528
B_12	C21:0	3	Mix	0.00000
B_12	C20:5(n-3)	3	Mix	122.58276
B_12	C22:0	3	Mix	4.02744
B_12	C22:1	3	Mix	27.16988
B_12	C22:2	3	Mix	0.00422
B_12	C22:5(n-3)	3	Mix	0.07745
B_12	C22:6(n-3)	3	Mix	6.32561
B_12	C24:0	3	Mix	75.54900
B_12	C24:1	3	Mix	0.00000
