replicate	fa	week	treatment	fa_rel
B_6	C21:0	2	Cip	0
B_6	C20:5(n-3)	2	Cip	1.430184375
B_6	C22:0	2	Cip	0.030136013
B_6	C22:1	2	Cip	0
B_6	C22:2	2	Cip	7.0948E-05
B_6	C22:5(n-3)	2	Cip	0
B_6	C22:6(n-3)	2	Cip	0.07311313
B_6	C24:0	2	Cip	0
B_6	C24:1	2	Cip	0
B_7	C08:0	2	Pro	0.002160012
B_7	C10:0	2	Pro	0.013407376
B_7	C11:0	2	Pro	0
B_7	C12:0	2	Pro	0.224999353
B_7	C13:0	2	Pro	1.288342924
B_7	C14:0	2	Pro	2.767728732
B_7	C14:1	2	Pro	0
B_7	C15:0	2	Pro	0.139839033
B_7	C15:1	2	Pro	0
B_7	C16:0	2	Pro	40.89225631
B_7	C16:1	2	Pro	10.17944565
B_7	C17:0	2	Pro	0.137518978
B_7	C17:1	2	Pro	0.165667747
B_7	C18:0	2	Pro	0.08762591
B_7	C18:1	2	Pro	0
B_7	C18:2(n-6t)	2	Pro	0.00015431
B_7	C18:2(n-6c)	2	Pro	14.29938579
B_7	C18:3(n-6)	2	Pro	1.079369014
B_7	C18:3(n-3)	2	Pro	22.07306464
B_7	C18:4(n-3)	2	Pro	1.560521766
B_7	C20:0	2	Pro	0.163366207
B_7	C20:1	2	Pro	0.243767639
B_7	C20:2(n-6)	2	Pro	0.068442291
B_7	C20:3(n-6)	2	Pro	0.030010955
B_7	C20:4(n-6)	2	Pro	1.104169897
B_7	C20:3(n-3)	2	Pro	0.087158942
B_7	C21:0	2	Pro	0
B_7	C20:5(n-3)	2	Pro	2.787791443
B_7	C22:0	2	Pro	0.018644526
B_7	C22:1	2	Pro	0
B_7	C22:2	2	Pro	0
B_7	C22:5(n-3)	2	Pro	0
B_7	C22:6(n-3)	2	Pro	0.065974841
B_7	C24:0	2	Pro	0.519185713
B_7	C24:1	2	Pro	0
B_8	C08:0	2	Mix	0.001205424
B_8	C10:0	2	Mix	0
B_8	C11:0	2	Mix	0
B_8	C12:0	2	Mix	0.251521984
B_8	C13:0	2	Mix	1.513612114
B_8	C14:0	2	Mix	2.222882791
B_8	C14:1	2	Mix	0
B_8	C15:0	2	Mix	0.115421564
B_8	C15:1	2	Mix	0
B_8	C16:0	2	Mix	33.67471911
B_8	C16:1	2	Mix	6.821148177
B_8	C17:0	2	Mix	0.126246937
B_8	C17:1	2	Mix	0.158966096
B_8	C18:0	2	Mix	1.443267637
B_8	C18:1	2	Mix	16.58750327
B_8	C18:2(n-6t)	2	Mix	9.0216E-05
B_8	C18:2(n-6c)	2	Mix	11.77973903
B_8	C18:3(n-6)	2	Mix	0
B_8	C18:3(n-3)	2	Mix	20.35256885
B_8	C18:4(n-3)	2	Mix	1.342105229
B_8	C20:0	2	Mix	0.126685397
B_8	C20:1	2	Mix	0.243787716
B_8	C20:2(n-6)	2	Mix	0.055283928
B_8	C20:3(n-6)	2	Mix	0.040285894
B_8	C20:4(n-6)	2	Mix	0.853504404
B_8	C20:3(n-3)	2	Mix	0
B_8	C21:0	2	Mix	0
B_8	C20:5(n-3)	2	Mix	1.833306147
B_8	C22:0	2	Mix	0
B_8	C22:1	2	Mix	0
B_8	C22:2	2	Mix	9.91469E-05
B_8	C22:5(n-3)	2	Mix	0.035555939
B_8	C22:6(n-3)	2	Mix	0.089479332
B_8	C24:0	2	Mix	0.331013662
B_8	C24:1	2	Mix	0
B_9	C08:0	3	NC	0.000784786
B_9	C10:0	3	NC	0.021174229
B_9	C11:0	3	NC	0.000947539
B_9	C12:0	3	NC	0.112783038
B_9	C13:0	3	NC	0.816860601
B_9	C14:0	3	NC	1.866042489
B_9	C14:1	3	NC	0
B_9	C15:0	3	NC	0.110883146
B_9	C15:1	3	NC	0
B_9	C16:0	3	NC	34.17219116
B_9	C16:1	3	NC	0.95320315
B_9	C17:0	3	NC	0.150308928
B_9	C17:1	3	NC	0.128619313
B_9	C18:0	3	NC	1.767192197
B_9	C18:1	3	NC	13.74974791
B_9	C18:2(n-6t)	3	NC	0
B_9	C18:2(n-6c)	3	NC	14.69691976
B_9	C18:3(n-6)	3	NC	0
B_9	C18:3(n-3)	3	NC	24.65785459
B_9	C18:4(n-3)	3	NC	2.262684934
B_9	C20:0	3	NC	0.134903638
B_9	C20:1	3	NC	0.231069186
B_9	C20:2(n-6)	3	NC	0.110778702
B_9	C20:3(n-6)	3	NC	0
B_9	C20:4(n-6)	3	NC	1.03479498
B_9	C20:3(n-3)	3	NC	0
B_9	C21:0	3	NC	0
B_9	C20:5(n-3)	3	NC	2.153477887
B_9	C22:0	3	NC	0.044221526
B_9	C22:1	3	NC	0
B_9	C22:2	3	NC	5.79729E-05
B_9	C22:5(n-3)	3	NC	0.010216572
B_9	C22:6(n-3)	3	NC	0.170947401
B_9	C24:0	3	NC	0.641334377
B_9	C24:1	3	NC	0
B_10	C08:0	3	Cip	0.00122045
B_10	C10:0	3	Cip	0.028285254
B_10	C11:0	3	Cip	#NV
B_10	C12:0	3	Cip	0.097658124
B_10	C13:0	3	Cip	0.800470467
B_10	C14:0	3	Cip	2.106275051
B_10	C14:1	3	Cip	0
B_10	C15:0	3	Cip	0.108876147
B_10	C15:1	3	Cip	0
B_10	C16:0	3	Cip	31.56649948
B_10	C16:1	3	Cip	6.512771328
B_10	C17:0	3	Cip	0.112284087
