date	day	time_of_day	temperature_colonisation	light_intensity_colonisation
20230216	20	14	17.379	11711.2
20230216	20	15	17.665	13777.9
20230216	20	16	17.950	12400.1
20230216	20	17	18.140	11711.2
20230216	20	18	18.426	11022.3
20230216	20	19	18.616	14977.9
20230216	20	20	18.806	12400.1
20230216	20	21	18.996	16533.4
20230216	20	22	19.187	0
20230216	20	23	19.567	0
20230217	21	0	18.996	0
20230217	21	1	18.426	0
20230217	21	2	17.855	0
20230217	21	3	17.284	0
20230217	21	4	16.808	0
20230217	21	5	16.523	0
20230217	21	6	16.141	15155.7
20230217	21	7	15.187	16533.4
20230217	21	8	15.282	14600.1
20230217	21	9	15.378	15844.5
20230217	21	10	15.760	11711.2
20230217	21	11	16.046	17222.3
20230217	21	12	16.332	15844.5
20230217	21	13	16.713	14600.1
20230217	21	14	16.999	14600.1
20230217	21	15	17.379	16533.4
20230217	21	16	17.665	11711.2
20230217	21	17	17.950	13089.0
20230217	21	18	18.140	16533.4
20230217	21	19	18.426	12400.1
20230217	21	20	18.616	10677.8
20230217	21	21	18.806	12400.1
20230217	21	22	18.996	0
20230217	21	23	19.377	0
20230218	22	0	18.711	0
20230218	22	1	18.236	0
20230218	22	2	17.665	0
20230218	22	3	17.094	0
20230218	22	4	16.713	0
20230218	22	5	16.332	0
20230218	22	6	15.951	16533.4
20230218	22	7	15.091	16533.4
20230218	22	8	15.282	14466.8
20230218	22	9	15.473	11022.3
20230218	22	10	16.237	11022.3
20230218	22	11	16.141	14600.1
20230218	22	12	20.234	17222.3
20230218	22	13	20.901	14600.1
20230218	22	14	20.519	16533.4
20230218	22	15	20.615	15155.7
20230218	22	16	20.901	10677.8
20230218	22	17	21.091	12400.1
20230218	22	18	19.758	16533.4
20230218	22	19	19.853	10677.8
20230218	22	20	20.043	16533.4
20230218	22	21	20.138	15155.7
20230218	22	22	19.662	0
20230218	22	23	18.901	0
20230219	23	0	18.236	0
20230219	23	1	17.570	0
20230219	23	2	16.999	0
20230219	23	3	16.523	0
20230219	23	4	16.141	0
20230219	23	5	15.760	0
20230219	23	6	16.141	16533.4
20230219	23	7	16.618	12400.1
20230219	23	8	16.999	15155.7
20230219	23	9	17.284	13089.0
20230219	23	10	17.570	15155.7
20230219	23	11	17.855	13089.0
20230219	23	12	18.140	11711.2
20230219	23	13	19.567	16533.4
20230219	23	14	19.758	16533.4
20230219	23	15	22.238	17911.2
20230219	23	16	21.569	17222.3
20230219	23	17	21.378	14600.1
20230219	23	18	21.282	14289.0
20230219	23	19	21.282	14289.0
20230219	23	20	21.187	12400.1
20230219	23	21	21.187	11022.3
20230219	23	22	20.710	0
20230219	23	23	19.948	0
20230220	24	0	19.187	0
20230220	24	1	18.521	0
20230220	24	2	17.855	0
20230220	24	3	17.284	0
20230220	24	4	16.808	0
20230220	24	5	16.332	0
20230220	24	6	16.523	15155.7
20230220	24	7	17.094	17222.3
20230220	24	8	17.475	14466.8
20230220	24	9	17.760	15844.5
20230220	24	10	18.140	11022.3
20230220	24	11	18.426	13089.0
20230220	24	12	18.806	10677.8
20230220	24	13	19.092	11022.3
20230220	24	14	19.377	13089.0
20230220	24	15	19.662	12400.1
20230220	24	16	19.948	17911.2
20230220	24	17	20.138	15844.5
20230220	24	18	20.329	13089.0
20230220	24	19	20.519	12400.1
20230220	24	20	20.615	12400.1
20230220	24	21	20.805	14289.0
20230220	24	22	20.329	0
20230220	24	23	19.567	0
20230221	25	0	18.806	0
20230221	25	1	18.236	0
20230221	25	2	17.570	0
20230221	25	3	16.999	0
20230221	25	4	16.618	0
20230221	25	5	16.237	0
20230221	25	6	16.427	11022.3
20230221	25	7	16.999	17222.3
20230221	25	8	17.379	15844.5
20230221	25	9	17.665	17222.3
20230221	25	10	18.045	17911.2
20230221	25	11	18.426	16533.4
20230221	25	12	18.711	13089.0
20230221	25	13	19.092	11711.2
20230221	25	14	19.282	14466.8
20230221	25	15	19.567	15844.5
20230221	25	16	19.853	12400.1
20230221	25	17	20.138	12400.1
20230221	25	18	20.234	16533.4
20230221	25	19	20.424	16533.4
20230221	25	20	20.615	16533.4
20230221	25	21	20.710	13777.9
20230221	25	22	20.234	0
20230221	25	23	19.472	0
20230222	26	0	18.806	0
20230222	26	1	18.140	0
20230222	26	2	17.570	0
20230222	26	3	16.999	0
20230222	26	4	16.523	0
20230222	26	5	16.141	0
20230222	26	6	16.427	11711.2
20230222	26	7	16.903	15844.5
20230222	26	8	17.284	14466.8
20230222	26	9	17.570	14289.0
20230222	26	10	17.855	14466.8
20230222	26	11	18.140	13089.0
20230222	26	12	18.426	15844.5
20230222	26	13	18.711	12400.1
20230222	26	14	19.092	13777.9
20230222	26	15	19.282	16533.4
20230222	26	16	19.662	11022.3
20230222	26	17	19.758	12644.5
20230222	26	18	19.948	14466.8
20230222	26	19	20.138	17911.2
20230222	26	20	20.329	14600.1
20230222	26	21	20.424	12400.1
20230222	26	22	19.948	0
20230222	26	23	19.187	0
20230223	27	0	18.426	0
20230223	27	1	17.760	0
20230223	27	2	17.189	0
20230223	27	3	16.713	0
20230223	27	4	16.237	0
20230223	27	5	15.855	0
20230223	27	6	16.141	17911.2
20230223	27	7	16.713	14466.8
20230223	27	8	17.094	15155.7
20230223	27	9	17.284	14466.8
20230223	27	10	17.665	16533.4
20230223	27	11	18.045	16533.4
20230223	27	12	18.331	14466.8
20230223	27	13	18.616	17911.2
20230223	27	14	18.901	17222.3
20230223	27	15	19.092	14466.8
20230223	27	16	19.377	10677.8
20230223	27	17	19.662	10677.8
20230223	27	18	19.758	12400.1
20230223	27	19	20.043	12400.1
20230223	27	20	20.138	14466.8
20230223	27	21	20.329	12400.1
20230223	27	22	19.853	0
20230223	27	23	19.092	0
20230224	28	0	18.331	0
20230224	28	1	17.665	0
20230224	28	2	17.094	0
20230224	28	3	16.618	0
20230224	28	4	16.237	0
20230224	28	5	15.855	0
20230224	28	6	16.237	13977.9
20230224	28	7	16.808	14466.8
20230224	28	8	17.189	12400.1
20230224	28	9	17.475	13777.9
20230224	28	10	17.855	12400.1
20230224	28	11	18.140	13977.9
20230224	28	12	18.521	11711.2
20230224	28	13	18.711	11711.2
20230224	28	14	19.092	16533.4
20230224	28	15	19.377	14466.8
20230224	28	16	19.662	13089.0
20230224	28	17	19.853	14466.8
20230224	28	18	20.043	16533.4
20230224	28	19	20.234	11711.2
20230224	28	20	20.329	14466.8
20230224	28	21	20.519	12400.1
20230224	28	22	19.948	0
20230224	28	23	19.187	0
20230225	29	0	18.521	0
20230225	29	1	17.855	0
20230225	29	2	17.284	0
20230225	29	3	16.713	0
20230225	29	4	16.332	0
20230225	29	5	15.951	0
20230225	29	6	15.569	15155.7
20230225	29	7	15.664	12400.1
20230225	29	8	16.332	17222.3
20230225	29	9	16.903	14600.1
20230225	29	10	17.284	14600.1
20230225	29	11	17.855	12400.1
20230225	29	12	18.236	12400.1
20230225	29	13	18.711	13089.0
20230225	29	14	19.092	13089.0
20230225	29	15	19.472	12400.1
20230225	29	16	19.758	14466.8
20230225	29	17	20.043	14466.8
20230225	29	18	20.329	17222.3
20230225	29	19	20.519	16533.4
20230225	29	20	20.710	11022.3
20230225	29	21	20.901	11022.3
20230225	29	22	21.187	0
20230225	29	23	20.901	0
20230226	30	0	20.138	0
20230226	30	1	19.377	0
20230226	30	2	18.711	0
20230226	30	3	18.140	0
20230226	30	4	17.570	0
20230226	30	5	16.999	0
20230226	30	6	16.427	11022.3
20230226	30	7	16.332	10677.8
20230226	30	8	16.903	10677.8
20230226	30	9	17.379	15844.5
20230226	30	10	17.760	16533.4
20230226	30	11	18.236	16533.4
20230226	30	12	18.521	12400.1
20230226	30	13	18.901	12400.1
20230226	30	14	19.282	16533.4
20230226	30	15	17.665	17222.3
20230226	30	16	18.045	15844.5
20230226	30	17	18.331	12400.1
20230226	30	18	18.521	13777.9
20230226	30	19	18.711	13777.9
20230226	30	20	18.901	13089.0
20230226	30	21	19.092	12977.9
20230226	30	22	19.377	0
20230226	30	23	19.567	0
20230227	31	0	19.092	0
20230227	31	1	18.426	0
20230227	31	2	17.855	0
20230227	31	3	17.284	0
20230227	31	4	16.713	0
20230227	31	5	16.332	0
20230227	31	6	15.664	13089.0
20230227	31	7	14.996	16533.4
20230227	31	8	14.996	16533.4
20230227	31	9	15.187	14466.8
20230227	31	10	15.569	14466.8
20230227	31	11	15.951	16533.4
20230227	31	12	16.332	12400.1
20230227	31	13	16.713	12400.1
20230227	31	14	17.094	11022.3
20230227	31	15	17.855	12400.1
20230227	31	16	18.711	11022.3
20230227	31	17	18.711	11022.3
20230227	31	18	21.569	13777.9
20230227	31	19	20.805	15844.5
20230227	31	20	20.805	12400.1
20230227	31	21	20.901	13777.9
20230227	31	22	20.710	0
20230227	31	23	20.138	0
20230228	32	0	19.472	0
20230228	32	1	18.711	0
20230228	32	2	17.950	0
20230228	32	3	17.475	0
20230228	32	4	16.999	0
20230228	32	5	16.427	0
20230228	32	6	15.664	13089.0
20230228	32	7	15.760	13089.0
20230228	32	8	15.855	11711.2
20230228	32	9	16.237	14600.1
20230228	32	10	16.523	14600.1
20230228	32	11	16.808	16533.4
20230228	32	12	17.189	17222.3
20230228	32	13	17.475	15844.5
20230228	32	14	17.760	12400.1
20230228	32	15	17.950	12400.1
20230228	32	16	18.331	11022.3
20230228	32	17	18.331	11022.3
20230228	32	18	18.521	13777.9
20230228	32	19	18.711	15844.5
20230228	32	20	18.901	16533.4
20230228	32	21	19.092	14600.1
20230228	32	22	19.377	0
20230228	32	23	19.282	0
20230301	33	0	18.806	0
20230301	33	1	18.236	0
20230301	33	2	17.665	0
20230301	33	3	17.189	0
20230301	33	4	16.808	0
20230301	33	5	16.332	0
20230301	33	6	15.855	13777.9
20230301	33	7	15.282	12400.1
20230301	33	8	15.282	10333.4
20230301	33	9	15.473	10333.4
20230301	33	10	15.855	16533.4
20230301	33	11	16.141	15155.7
20230301	33	12	16.523	14044.6
20230301	33	13	16.808	14044.6
20230301	33	14	17.094	13089.0
20230301	33	15	17.379	16533.4
20230301	33	16	17.760	16533.4
20230301	33	17	17.950	13089.0
20230301	33	18	18.236	18600.1
20230301	33	19	18.426	11022.3
20230301	33	20	18.711	13777.9
20230301	33	21	18.901	11711.2
20230301	33	22	19.092	0
20230301	33	23	18.996	0
20230302	34	0	18.521	0
20230302	34	1	18.045	0
20230302	34	2	17.379	0
20230302	34	3	16.903	0
20230302	34	4	16.523	0
20230302	34	5	16.141	0
20230302	34	6	15.664	13777.9
20230302	34	7	15.187	17222.3
20230302	34	8	15.378	16533.4
20230302	34	9	15.569	11711.2
20230302	34	10	15.951	13089.0
20230302	34	11	16.713	15844.5
20230302	34	12	19.567	17222.3
20230302	34	13	20.519	15844.5
20230302	34	14	20.519	14044.6
20230302	34	15	20.710	16533.4
20230302	34	16	20.710	14466.8
20230302	34	17	20.901	14466.8
20230302	34	18	21.091	12400.1
20230302	34	19	20.234	16533.4
20230302	34	20	19.567	17911.2
20230302	34	21	18.806	16533.4
20230302	34	22	18.045	0
20230302	34	23	18.045	0
20230303	35	0	18.045	0
20230303	35	1	17.475	0
20230303	35	2	16.903	0
