fa	replicate	treatment	fa_rel
C18:2(n-6c)	S_10	NC	8.150613723
C18:3(n-6)	S_10	NC	0
C18:3(n-3)	S_10	NC	7.143370767
C18:4(n-3)	S_10	NC	0.272117853
C20:0	S_10	NC	0.00210224
C20:1	S_10	NC	0.789943327
C20:2(n-6)	S_10	NC	1.399657938
C20:4(n-6)	S_10	NC	5.589496913
C20:5(n-3)	S_10	NC	5.481501297
C22:1	S_10	NC	0
C22:2	S_10	NC	0
C22:5(n-3)	S_10	NC	0.178532624
C22:6(n-3)	S_10	NC	0.211825772
C24:0	S_10	NC	0
C08:0	S_11	Pro	0.003284981
C12:0	S_11	Pro	0
C13:0	S_11	Pro	0
C14:0	S_11	Pro	1.25490406
C15:0	S_11	Pro	0.243186106
C16:0	S_11	Pro	45.45792919
C16:1	S_11	Pro	13.41714493
C17:0	S_11	Pro	0.496844119
C18:0	S_11	Pro	4.019662349
C18:1	S_11	Pro	12.37246384
C18:2(n-6t)	S_11	Pro	0.000299874
C18:2(n-6c)	S_11	Pro	6.071289914
C18:3(n-6)	S_11	Pro	0
C18:3(n-3)	S_11	Pro	4.740701908
C18:4(n-3)	S_11	Pro	0.342897624
C20:0	S_11	Pro	0.001370899
C20:1	S_11	Pro	0.519041208
C20:2(n-6)	S_11	Pro	1.07395747
C20:4(n-6)	S_11	Pro	4.721345345
C20:5(n-3)	S_11	Pro	4.68427347
C22:1	S_11	Pro	0
C22:2	S_11	Pro	0
C22:5(n-3)	S_11	Pro	0.14423297
C22:6(n-3)	S_11	Pro	0.108949358
C24:0	S_11	Pro	0.326220388
C08:0	S_12	Pro	0
C12:0	S_12	Pro	0
C13:0	S_12	Pro	0
C14:0	S_12	Pro	0.495934345
C15:0	S_12	Pro	0.326614508
C16:0	S_12	Pro	43.80743385
C16:1	S_12	Pro	2.851605445
C17:0	S_12	Pro	0.694740102
C18:0	S_12	Pro	14.01226142
C18:1	S_12	Pro	0.174392732
C18:2(n-6t)	S_12	Pro	0.000994857
C18:2(n-6c)	S_12	Pro	9.447871402
C18:3(n-6)	S_12	Pro	0
C18:3(n-3)	S_12	Pro	5.781189348
C18:4(n-3)	S_12	Pro	0.278250649
C20:0	S_12	Pro	0
C20:1	S_12	Pro	1.709806231
C20:2(n-6)	S_12	Pro	1.13226039
C20:4(n-6)	S_12	Pro	10.83135974
C20:5(n-3)	S_12	Pro	7.437780256
C22:1	S_12	Pro	0
C22:2	S_12	Pro	0
C22:5(n-3)	S_12	Pro	0.254440316
C22:6(n-3)	S_12	Pro	0.095423516
C24:0	S_12	Pro	0.667640887
C08:0	S_13	Pro	0.00122304
C12:0	S_13	Pro	0.097865409
C13:0	S_13	Pro	0.802169506
C14:0	S_13	Pro	2.110745726
C15:0	S_13	Pro	0.109107242
C16:0	S_13	Pro	31.63350096
C16:1	S_13	Pro	6.526595011
C17:0	S_13	Pro	0.112522416
C18:0	S_13	Pro	1.890993427
C18:1	S_13	Pro	13.31301462
C18:2(n-6t)	S_13	Pro	0
C18:2(n-6c)	S_13	Pro	13.10869197
C18:3(n-6)	S_13	Pro	1.082573811
C18:3(n-3)	S_13	Pro	22.809549
C18:4(n-3)	S_13	Pro	2.212162299
C20:0	S_13	Pro	0.186884217
C20:1	S_13	Pro	0.20396
C20:2(n-6)	S_13	Pro	0.134724598
C20:4(n-6)	S_13	Pro	0.772412621
C20:5(n-3)	S_13	Pro	2.020488364
C22:1	S_13	Pro	0
C22:2	S_13	Pro	3.20671E-05
C22:5(n-3)	S_13	Pro	0.005472477
C22:6(n-3)	S_13	Pro	0.117028373
C24:0	S_13	Pro	0.748282849
C08:0	S_14	Pro	0.001700998
C12:0	S_14	Pro	0.077026277
C13:0	S_14	Pro	0.573286531
C14:0	S_14	Pro	1.251388778
C15:0	S_14	Pro	0.099794628
C16:0	S_14	Pro	34.67644722
C16:1	S_14	Pro	3.681380098
C17:0	S_14	Pro	0.185071681
C18:0	S_14	Pro	2.065693868
C18:1	S_14	Pro	13.44237867
C18:2(n-6t)	S_14	Pro	0.018882071
C18:2(n-6c)	S_14	Pro	12.66488763
C18:3(n-6)	S_14	Pro	0
C18:3(n-3)	S_14	Pro	25.52729408
C18:4(n-3)	S_14	Pro	2.385867099
C20:0	S_14	Pro	0.143594247
C20:1	S_14	Pro	0.223506707
C20:2(n-6)	S_14	Pro	0.058978087
C20:4(n-6)	S_14	Pro	0.384400842
C20:5(n-3)	S_14	Pro	1.342920132
C22:1	S_14	Pro	0.297651858
C22:2	S_14	Pro	4.62819E-05
C22:5(n-3)	S_14	Pro	0.000848475
C22:6(n-3)	S_14	Pro	0.069298369
C24:0	S_14	Pro	0.827655375
C08:0	S_15	Pro	0
C12:0	S_15	Pro	0.115055112
C13:0	S_15	Pro	2.231476153
C14:0	S_15	Pro	2.327257628
C15:0	S_15	Pro	0.422522735
C16:0	S_15	Pro	44.29793463
C16:1	S_15	Pro	7.856835376
C17:0	S_15	Pro	0.569778917
C18:0	S_15	Pro	6.184066462
C18:1	S_15	Pro	11.5040531
C18:2(n-6t)	S_15	Pro	0.033958529
C18:2(n-6c)	S_15	Pro	5.593726745
C18:3(n-6)	S_15	Pro	0.014295635
C18:3(n-3)	S_15	Pro	4.987776494
C18:4(n-3)	S_15	Pro	0.226821764
C20:0	S_15	Pro	0
C20:1	S_15	Pro	0.292853854
C20:2(n-6)	S_15	Pro	0.849528306
C20:4(n-6)	S_15	Pro	6.007874539
C20:5(n-3)	S_15	Pro	5.156025282
C22:1	S_15	Pro	0.563316159
C22:2	S_15	Pro	0.000228934
C22:5(n-3)	S_15	Pro	0.204260204
C22:6(n-3)	S_15	Pro	0.189264878
C24:0	S_15	Pro	0.371088566
C08:0	S_16	Pro	0
C12:0	S_16	Pro	0.083050325
C13:0	S_16	Pro	3.297457822
C14:0	S_16	Pro	2.035907623
C15:0	S_16	Pro	0.5409064
C16:0	S_16	Pro	49.91385266
C16:1	S_16	Pro	3.508578554
C17:0	S_16	Pro	0.630606575
C18:0	S_16	Pro	7.257643577
C18:1	S_16	Pro	12.31416973
C18:2(n-6t)	S_16	Pro	0.000763846
C18:2(n-6c)	S_16	Pro	4.908608909
C18:3(n-6)	S_16	Pro	0.011477294
C18:3(n-3)	S_16	Pro	3.657241322
C18:4(n-3)	S_16	Pro	0.012159482
C20:0	S_16	Pro	0.00997004
C20:1	S_16	Pro	0.339406225
C20:2(n-6)	S_16	Pro	0.674974465
C20:4(n-6)	S_16	Pro	5.239436841
C20:5(n-3)	S_16	Pro	4.685610915
C22:1	S_16	Pro	0.303106452
C22:2	S_16	Pro	0.000286768
C22:5(n-3)	S_16	Pro	0.107755557
C22:6(n-3)	S_16	Pro	0.049402493
C24:0	S_16	Pro	0.417626122
C08:0	S_17	Pro	0.006482791
C12:0	S_17	Pro	0
C13:0	S_17	Pro	1.684434942
C14:0	S_17	Pro	1.932610122
C15:0	S_17	Pro	0.369030666
C16:0	S_17	Pro	46.22000623
C16:1	S_17	Pro	6.838147546
C17:0	S_17	Pro	0.552806683
C18:0	S_17	Pro	6.959266232
C18:1	S_17	Pro	11.02431405
C18:2(n-6t)	S_17	Pro	0.000481651
C18:2(n-6c)	S_17	Pro	5.662486472
C18:3(n-6)	S_17	Pro	#NV
C18:3(n-3)	S_17	Pro	5.074981016
C18:4(n-3)	S_17	Pro	0.276592615
C20:0	S_17	Pro	0.139009196
C20:1	S_17	Pro	0.250192689
C20:2(n-6)	S_17	Pro	0.76753836
C20:4(n-6)	S_17	Pro	5.817626137
C20:5(n-3)	S_17	Pro	5.162742164
