"RUNINFO"	"Name"	"Run"	"Treatment"	"Replicate"	"FA_mass"	"µg_FA_per_mg"
"134"	"Algae_16"	"20:3n-3"	"R3"	"C"	1	0.185642085299562	0.0133363567025548
"135"	"Algae_16"	"20:4n-6"	"R3"	"C"	1	0.478005032568033	0.03433944199483
"136"	"Algae_16"	"20:5n-3"	"R3"	"C"	1	3.06327437967202	0.220062814631611
"137"	"Algae_16"	"22:0"	"R3"	"C"	1	0.472097384600288	0.0339150419971471
"138"	"Algae_16"	"22:6n-3"	"R3"	"C"	1	0.645102299274538	0.0463435559823662
"139"	"Algae_16"	"23:0"	"R3"	"C"	1	0.224763307029547	0.0161467892980997
"140"	"Algae_16"	"24:0"	"R3"	"C"	1	0.575471905308265	0.0413413725077777
"141"	"Algae_17"	"15:0"	"R1"	"T"	3	0.752090922265984	0.0756630706505014
"142"	"Algae_17"	"16:0"	"R1"	"T"	3	57.0149693328054	5.7359124077269
"143"	"Algae_17"	"16:1n-7"	"R1"	"T"	3	12.6223770894847	1.26985685004876
"144"	"Algae_17"	"17:0"	"R1"	"T"	3	13.8877276658576	1.3971557007905
"145"	"Algae_17"	"18:0"	"R1"	"T"	3	1.66532068952061	0.167537292708311
"146"	"Algae_17"	"18:1n-7"	"R1"	"T"	3	22.9574096712412	2.30959855847497
"147"	"Algae_17"	"18:1n-9c"	"R1"	"T"	3	9.08740481923508	0.914225836945179
"148"	"Algae_17"	"18:2n-6c"	"R1"	"T"	3	33.9006569679063	3.4105288700107
"149"	"Algae_17"	"18:3n-3"	"R1"	"T"	3	82.1131574751381	8.2608810337161
"150"	"Algae_17"	"18:3n-6"	"R1"	"T"	3	4.46616270918688	0.449312143781377
"151"	"Algae_17"	"20:0"	"R1"	"T"	3	0.00742281582428189	0.000746762155360351
"152"	"Algae_17"	"20:1n-9"	"R1"	"T"	3	0.0603054637712979	0.00606694806552293
"153"	"Algae_17"	"20:2n-6"	"R1"	"T"	3	0.156497466804288	0.0157442119521417
"154"	"Algae_17"	"20:3n-3"	"R1"	"T"	3	0.455388241270286	0.0458137063652199
"155"	"Algae_17"	"20:4n-6"	"R1"	"T"	3	0.83818938121198	0.0843248874458733
"156"	"Algae_17"	"20:5n-3"	"R1"	"T"	3	1.61944553433333	0.162922085949028
"157"	"Algae_17"	"22:0"	"R1"	"T"	3	0.12218886741739	0.012292642597323
"158"	"Algae_17"	"22:6n-3"	"R1"	"T"	3	0.202404589791612	0.0203626347878885
"159"	"Algae_17"	"23:0"	"R1"	"T"	3	0.183409129883651	0.0184516227247134
"160"	"Algae_17"	"24:0"	"R1"	"T"	3	0.264986036473148	0.0266585549771778
"161"	"Algae_18"	"15:0"	"R2"	"C"	1	0.641049467142992	0.0449859275188065
"162"	"Algae_18"	"16:0"	"R2"	"C"	1	67.8110961085803	4.75867341112844
"163"	"Algae_18"	"16:1n-7"	"R2"	"C"	1	14.6622505051519	1.02892986001066
"164"	"Algae_18"	"17:0"	"R2"	"C"	1	12.5946878244086	0.883837742063763
"165"	"Algae_18"	"18:0"	"R2"	"C"	1	1.70022768810073	0.119314223726367
"166"	"Algae_18"	"18:1n-7"	"R2"	"C"	1	37.1367650633745	2.60608877637716
"167"	"Algae_18"	"18:1n-9c"	"R2"	"C"	1	13.1541113294132	0.923095531888644
"168"	"Algae_18"	"18:2n-6c"	"R2"	"C"	1	27.4812159447448	1.92850638208736
"169"	"Algae_18"	"18:3n-3"	"R2"	"C"	1	114.664680314503	8.04664423259672
"170"	"Algae_18"	"18:3n-6"	"R2"	"C"	1	12.4399261305627	0.87297727232019
"171"	"Algae_18"	"20:0"	"R2"	"C"	1	0.0224841994592287	0.00157783855854237
"172"	"Algae_18"	"20:1n-9"	"R2"	"C"	1	0.120177127203533	0.00843348261077422
"173"	"Algae_18"	"20:2n-6"	"R2"	"C"	1	0.157784300546144	0.0110725824944663
"174"	"Algae_18"	"20:3n-3"	"R2"	"C"	1	0.119659372103482	0.0083971489195426
"175"	"Algae_18"	"20:4n-6"	"R2"	"C"	1	0.867776671559287	0.0608966085304763
"176"	"Algae_18"	"20:5n-3"	"R2"	"C"	1	4.63611038613248	0.325341079728595
"177"	"Algae_18"	"22:0"	"R2"	"C"	1	0.147536312058393	0.0103534254076065
"178"	"Algae_18"	"22:6n-3"	"R2"	"C"	1	0.687454159296594	0.0482423971436206
"179"	"Algae_18"	"23:0"	"R2"	"C"	1	0.222286229471215	0.0155990336471028
