Oldname	RUNINFO	Name	Week	FA	Treatment	FA_conc_rel
W2Pro	S_7	C18:2(n-6c)	2	PUFA	Pro	14.29938579
W2Pro	S_7	C18:3(n-6)	2	PUFA	Pro	1.079369014
W2Pro	S_7	C18:3(n-3)	2	PUFA	Pro	22.07306464
W2Pro	S_7	C18:4(n-3)	2	PUFA	Pro	1.560521766
W2Pro	S_7	C20:0	2	SAFA	Pro	0.163366207
W2Pro	S_7	C20:1	2	MUFA	Pro	0.243767639
W2Pro	S_7	C20:2(n-6)	2	PUFA	Pro	0.068442291
W2Pro	S_7	C20:3(n-6)	2	PUFA	Pro	0.030010955
W2Pro	S_7	C20:4(n-6)	2	PUFA	Pro	1.104169897
W2Pro	S_7	C20:3(n-3)	2	PUFA	Pro	0.087158942
W2Pro	S_7	C21:0	2	SAFA	Pro	0
W2Pro	S_7	C20:5(n-3)	2	PUFA	Pro	2.787791443
W2Pro	S_7	C22:0	2	SAFA	Pro	0.018644526
W2Pro	S_7	C22:1	2	MUFA	Pro	0
W2Pro	S_7	C22:2	2	PUFA	Pro	0
W2Pro	S_7	C22:5(n-3)	2	PUFA	Pro	0
W2Pro	S_7	C22:6(n-3)	2	PUFA	Pro	0.065974841
W2Pro	S_7	C24:0	2	SAFA	Pro	0.519185713
W2Pro	S_7	C24:1	2	MUFA	Pro	0
W2Mix	S_8	C08:0	2	SAFA	Mix	0.001205424
W2Mix	S_8	C10:0	2	SAFA	Mix	0
W2Mix	S_8	C11:0	2	SAFA	Mix	0
W2Mix	S_8	C12:0	2	SAFA	Mix	0.251521984
W2Mix	S_8	C13:0	2	SAFA	Mix	1.513612114
W2Mix	S_8	C14:0	2	SAFA	Mix	2.222882791
W2Mix	S_8	C14:1	2	MUFA	Mix	0
W2Mix	S_8	C15:0	2	SAFA	Mix	0.115421564
W2Mix	S_8	C15:1	2	MUFA	Mix	0
W2Mix	S_8	C16:0	2	SAFA	Mix	33.67471911
W2Mix	S_8	C16:1	2	MUFA	Mix	6.821148177
W2Mix	S_8	C17:0	2	SAFA	Mix	0.126246937
